time,ask,price,bid,volume,trade_id,size
2017-04-05T16:31:45.249000Z,1122.28,1121.70000000,1121.77,7414.58570280,14168167,1.00000000
2017-04-05T16:32:57.097000Z,1122.3,1122.23000000,1121.58,7414.87021687,14168210,0.26665823
2017-04-05T16:33:44.575000Z,1122.28,1122.29000000,1121.89,7426.10929076,14168246,0.24934413
2017-04-05T16:34:48.385000Z,1122.29,1122.29000000,1122.28,7437.58226914,14168256,0.03000000
2017-04-05T16:35:45.847000Z,1122.29,1122.29000000,1122.28,7442.32088852,14168260,0.11000000
2017-04-05T16:36:45.254000Z,1122.27,1122.02000000,1122.01,7446.14088852,14168267,0.07690000
2017-04-05T16:37:47.515000Z,1122.3,1122.29000000,1122.29,7443.79348852,14168273,0.06030000
2017-04-05T16:38:49.227000Z,1122.3,1122.30000000,1122.1,7443.48361537,14168283,0.39570000
2017-04-05T16:39:50.997000Z,1122.29,1122.30000000,1122.25,7446.03131537,14168288,1.05260000
2017-04-05T16:40:53.113000Z,1121.96,1120.61000000,1121.3,7444.79011537,14168304,0.45562379
2017-04-05T16:41:57.958000Z,1122.15,1122.17000000,1121.88,7458.28561537,14168314,0.36039390
2017-04-05T16:42:57.332000Z,1122.3,1122.30000000,1122.11,7457.97600927,14168318,0.03110001
2017-04-05T16:44:01.678000Z,1122.97,1122.22000000,1122.21,7465.93985814,14168370,0.04707650
2017-04-05T16:45:00.292000Z,1122.18,1122.16000000,1121.5,7486.55623204,14168380,0.60690000
2017-04-05T16:46:02.471000Z,1122.61,1122.63000000,1121.78,7486.55623204,14168389,1.27120035
2017-04-05T16:47:07.028000Z,1122.59,1122.27000000,1122.21,7465.71608754,14168401,1.00800000
2017-04-05T16:48:06.654000Z,1122.99,1122.62000000,1122.8,7430.42674509,14168427,0.01000000
2017-04-05T16:49:07.435000Z,1122.99,1122.99000000,1122.98,7394.61495868,14168460,0.48470466
2017-04-05T16:50:09.837000Z,1124.22,1123.94000000,1123.94,7378.00647255,14168484,0.00062125
2017-04-05T16:51:00.797000Z,1124.98,1124.98000000,1124.97,7375.71908295,14168500,0.02880981
2017-04-05T16:52:01.235000Z,1124.59,1124.97000000,1124.25,7383.32499085,14168528,0.27430000
2017-04-05T16:53:13.140000Z,1124.36,1123.59000000,1123.51,7398.69737303,14168588,0.02075495
2017-04-05T16:53:56.039000Z,1122.26,1121.68000000,1121.73,7417.11303219,14168632,0.31753064
2017-04-05T16:55:06.817000Z,1122.08,1122.09000000,1121.72,7438.82420433,14168647,0.08750677
2017-04-05T16:56:02.181000Z,1121.78,1121.90000000,1121.72,7440.35020928,14168656,0.43490467
2017-04-05T16:57:06.877000Z,1121.53,1121.53000000,1121.52,7441.51998403,14168666,0.11000000
2017-04-05T16:58:11.469000Z,1121.15,1121.15000000,1121.14,7432.56991898,14168674,0.06000000
2017-04-05T16:59:13.623000Z,1120.48,1120.46000000,1120.32,7429.77523955,14168700,0.06000000
2017-04-05T17:00:08.397000Z,1120.43,1120.07000000,1120.05,7427.81776011,14168721,0.20350000
2017-04-05T17:01:19.737000Z,1120.14,1120.14000000,1120.06,7422.52576005,14168728,0.32820000
2017-04-05T17:02:19.445000Z,1123.89,1123.69000000,1122.82,7421.43246005,14168798,0.08275471
2017-04-05T17:03:15.097000Z,1125.95,1125.94000000,1125.16,7416.89678997,14168905,0.23810000
2017-04-05T17:04:21.685000Z,1125.98,1125.98000000,1125.97,7398.88056456,14168936,0.78204734
2017-04-05T17:04:55.940000Z,1125.98,1125.98000000,1125.97,7626.64132117,14168952,0.28750000
2017-04-05T17:06:19.305000Z,1125.98,1125.98000000,1125.97,7626.64132117,14168958,0.68240000
