price,ask,bid,volume,time,size,trade_id
1128.13000000,1128.49,1128.13,8618.05813628,2017-04-05T21:40:04.992000Z,0.06053640,14174618
1128.13000000,1128.68,1128.55,8624.21023628,2017-04-05T21:40:04.992000Z,0.06053640,14174618
1128.88000000,1128.9,1128.68,8624.21023628,2017-04-05T21:40:21.104000Z,1.08110000,14174620
1128.88000000,1128.9,1128.6,8624.21023628,2017-04-05T21:40:21.104000Z,1.08110000,14174620
1128.88000000,1128.9,1128.78,8618.05813628,2017-04-05T21:40:21.104000Z,1.08110000,14174620
1128.97000000,1128.97,1128.77,8618.05813628,2017-04-05T21:40:52.518000Z,0.07840000,14174623
1128.97000000,1128.97,1128.77,8618.05813628,2017-04-05T21:40:52.518000Z,0.07840000,14174623
1128.96000000,1128.96,1128.77,8618.05813628,2017-04-05T21:41:14.206000Z,0.04073340,14174624
1128.97000000,1128.96,1128.79,8618.05813628,2017-04-05T21:41:22.968000Z,0.15740000,14174626
1128.79000000,1128.97,1128.59,8617.13484789,2017-04-05T21:41:43.101000Z,0.01670000,14174628
1128.64000000,1128.96,1128.67,8617.13484789,2017-04-05T21:41:53.857000Z,0.13300000,14174633
1128.64000000,1128.92,1128.55,8617.82158129,2017-04-05T21:41:53.857000Z,0.13300000,14174633
1128.19000000,1128.18,1127.85,8617.82158129,2017-04-05T21:42:37.178000Z,0.01630000,14174637
1127.99000000,1127.99,1127.84,8614.36934488,2017-04-05T21:42:51.266000Z,0.03964632,14174640
1127.85000000,1127.85,1127.84,8614.36934488,2017-04-05T21:43:00.078000Z,0.39420000,14174642
1127.70000000,1127.64,1127.59,8614.36934488,2017-04-05T21:43:06.915000Z,0.01280000,14174646
1127.70000000,1127.64,1127.63,8614.36934488,2017-04-05T21:43:06.915000Z,0.01280000,14174646
1127.70000000,1127.66,1127.55,8614.36934488,2017-04-05T21:43:06.915000Z,0.01280000,14174646
1127.53000000,1127.67,1127.53,8614.36934488,2017-04-05T21:43:42.766000Z,0.00779238,14174650
1127.53000000,1127.66,1127.65,8608.97819887,2017-04-05T21:43:42.766000Z,0.00779238,14174650
1127.53000000,1127.66,1127.57,8608.97819887,2017-04-05T21:43:42.766000Z,0.00779238,14174650
1127.67000000,1127.67,1127.66,8608.97819887,2017-04-05T21:44:12.351000Z,0.10380085,14174655
1127.80000000,1127.8,1127.74,8608.97819887,2017-04-05T21:44:17.824000Z,0.02000000,14174656
1127.79000000,1127.8,1127.79,8608.97819887,2017-04-05T21:44:28.094000Z,0.01000000,14174657
1127.97000000,1127.95,1127.93,8601.87300866,2017-04-05T21:44:47.788000Z,0.07000000,14174662
1127.97000000,1127.97,1127.93,8601.87300866,2017-04-05T21:44:47.788000Z,0.07000000,14174662
1127.97000000,1127.94,1127.93,8601.87300866,2017-04-05T21:44:47.788000Z,0.07000000,14174662
1127.97000000,1127.99,1127.93,8601.51826524,2017-04-05T21:44:47.788000Z,0.07000000,14174662
1128.00000000,1128,1127.93,8601.87300866,2017-04-05T21:45:27.312000Z,0.57495303,14174666
1128.00000000,1128,1127.93,8601.87300866,2017-04-05T21:45:27.312000Z,0.57495303,14174666
1128.00000000,1128,1127.94,8601.51826524,2017-04-05T21:45:49.248000Z,0.05376159,14174668
1128.00000000,1128,1127.99,8601.51826524,2017-04-05T21:45:56.055000Z,0.02000000,14174670
1128.00000000,1128,1127.99,8604.26087580,2017-04-05T21:45:56.055000Z,0.02000000,14174670
1128.00000000,1128,1127.99,8601.51826524,2017-04-05T21:45:56.055000Z,0.02000000,14174670
1128.00000000,1128,1127.99,8604.26087580,2017-04-05T21:46:26.173000Z,3.13180000,14174671
1128.00000000,1128,1127.99,8604.26087580,2017-04-05T21:46:26.173000Z,3.13180000,14174671
1128.00000000,1128,1127.99,8604.26087580,2017-04-05T21:46:45.840000Z,0.99750623,14174672
1128.00000000,1128,1127.99,8605.38437580,2017-04-05T21:47:03.456000Z,0.01640400,14174674
1128.00000000,1128,1127.99,8605.38437580,2017-04-05T21:47:03.456000Z,0.01640400,14174674
1128.13000000,1128.13,1128.12,8605.38437580,2017-04-05T21:47:28.298000Z,2.06116326,14174679
