Market Long proba (%),Market Short proba (%),Order Type,Market Mid
0.490397,0.50117,1,2838.995
0.490397,0.50117,1,2838.995
0.232193,0.247544,-1,2838.995
0.0535256,0.058319,-1,2838.995
0.0223835,0.02443,-1,2838.995
0.0181657,0.019826,-1,2838.995
0.0166385,0.0181585,-1,2838.995
0.0154912,0.0169057,-1,2838.995
0.0145083,0.0158322,-1,2838.995
0.0136481,0.0148928,-1,2838.995
0.012888,0.0140626,-1,2838.995
0.012211,0.0133232,-1,2838.995
0.0116041,0.0126603,-1,2838.995
0.0110566,0.0120623,-1,2838.995
0.0105601,0.0115201,-1,2838.995
0.0101077,0.0110259,-1,2838.995
0.00969361,0.0105737,-1,2838.995
0.00931318,0.0101583,-1,2838.995
0.00896237,0.00977513,-1,2838.995
0.00863782,0.00942068,-1,2838.995
0.00833663,0.00909177,-1,2838.995
0.00805635,0.00878569,-1,2838.995
0.00779484,0.00850012,-1,2838.995
0.00755026,0.00823304,-1,2838.995
0.00732099,0.00798269,-1,2838.995
0.00710563,0.00774753,-1,2838.995
0.00690293,0.0075262,-1,2838.995
0.0067118,0.00731752,-1,2838.995
0.00653126,0.0071204,-1,2838.995
0.00636045,0.00693391,-1,2838.995
0.0061986,0.00675721,-1,2838.995
0.006045,0.00658952,-1,2838.995
0.00589904,0.00643018,-1,2838.995
0.00576017,0.00627857,-1,2838.995
0.00562786,0.00613413,-1,2838.995
0.00550166,0.00599637,-1,2838.995
0.00538114,0.00586482,-1,2838.995
0.00526595,0.00573908,-1,2838.995
0.00515572,0.00561876,-1,2838.995
0.00505014,0.00550352,-1,2838.995
0.00494892,0.00539304,-1,2838.995
0.00485178,0.00528702,-1,2838.995
0.0047585,0.00518521,-1,2838.995
0.00466883,0.00508734,-1,2838.995
0.00458258,0.00499321,-1,2838.995
0.00449954,0.00490259,-1,2838.995
0.00441955,0.00481529,-1,2838.995
0.00434243,0.00473113,-1,2838.995
0.00426803,0.00464994,-1,2838.995
0.00419621,0.00457156,-1,2838.995
0.00412684,0.00449586,-1,2838.995
0.00405979,0.0044227,-1,2838.995
0.00399494,0.00435194,-1,2838.995
0.0039322,0.00428347,-1,2838.995
0.00387145,0.00421719,-1,2838.995
0.00381261,0.00415299,-1,2838.995
0.00375558,0.00409076,-1,2838.995
0.00370028,0.00403042,-1,2838.995
0.00364663,0.00397189,-1,2838.995
0.00359457,0.00391509,-1,2838.995
0.00354401,0.00385993,-1,2838.995
0.0034949,0.00380635,-1,2838.995
0.00344717,0.00375428,-1,2838.995
0.00340077,0.00370365,-1,2838.995
0.00335564,0.00365441,-1,2838.995
0.00331172,0.0036065,-1,2838.995
0.00326898,0.00355987,-1,2838.995
0.00322736,0.00351447,-1,2838.995
0.00318682,0.00347024,-1,2838.995
0.00314731,0.00342715,-1,2838.995
0.00310881,0.00338514,-1,2838.995
0.00307126,0.00334418,-1,2838.995
0.00303464,0.00330424,-1,2838.995
0.00299891,0.00326526,-1,2838.995
0.00296403,0.00322722,-1,2838.995
0.00292999,0.00319008,-1,2838.995
0.00289674,0.00315381,-1,2838.995
0.00286426,0.00311839,-1,2838.995
0.00283253,0.00308377,-1,2838.995
0.00280151,0.00304994,-1,2838.995
0.00277119,0.00301687,-1,2838.995
0.00274154,0.00298453,-1,2838.995
0.00271254,0.0029529,-1,2838.995
0.00268416,0.00292195,-1,2838.995
0.0026564,0.00289166,-1,2838.995
0.00262921,0.00286201,-1,2838.995
0.0026026,0.00283299,-1,2838.995
0.00257654,0.00280457,-1,2838.995
0.00255102,0.00277673,-1,2838.995
0.00252601,0.00274945,-1,2838.995
0.00250151,0.00272273,-1,2838.995
0.00247749,0.00269653,-1,2838.995
0.00245394,0.00267085,-1,2838.995
0.00243085,0.00264567,-1,2838.995
0.00240821,0.00262098,-1,2838.995
0.002386,0.00259676,-1,2838.995
0.00236421,0.00257299,-1,2838.995
0.00234283,0.00254968,-1,2838.995
0.00232185,0.00252679,-1,2838.995
0.00230125,0.00250433,-1,2839.005
0.102303,0.000695807,-1,2839.005
0.101555,0.000686751,-1,2839.005
0.0723262,0.000384415,-1,2839.005
0.0504895,0.000225534,-1,2839.005
0.0386566,0.000162513,-1,2839.005
0.0319413,0.00013304,-1,2839.005
0.0275439,0.000115759,-1,2839.005
0.0243438,0.000104026,-1,2839.995
0.382077,0.00267793,-1,2839.995
0.369214,0.00225893,-1,2839.995
0.167254,0.000145522,-1,2839.995
0.0511246,2.1577e-05,-1,2839.995
0.0272955,1.20402e-05,-1,2839.995
0.0223875,1.02902e-05,-1,2839.995
0.0201224,9.50065e-06,-1,2839.995
0.0184302,8.91694e-06,-1,2839.995
0.0170269,8.43638e-06,-1,2839.995
0.0158329,8.02959e-06,-1,2839.995
0.0148025,7.67983e-06,-1,2839.995
0.0139035,7.37536e-06,-1,2839.995
0.0131116,7.10759e-06,-1,2839.995
0.0124083,6.86998e-06,-1,2839.995
0.0117793,6.65753e-06,-1,2839.995
0.0112132,6.46626e-06,-1,2839.995
0.0107008,6.29303e-06,-1,2839.995
0.0102348,6.13534e-06,-1,2839.995
0.00980894,5.99104e-06,-1,2839.995
0.00941825,5.85849e-06,-1,2839.995
0.00905847,5.73623e-06,-1,2839.995
0.00872602,5.62307e-06,-1,2839.995
0.00841786,5.51797e-06,-1,2839.995
0.00813138,5.42009e-06,-1,2839.995
0.00786437,5.32867e-06,-1,2839.995
0.00761485,5.24307e-06,-1,2839.995
0.00738116,5.16273e-06,-1,2839.995
0.00716182,5.08718e-06,-1,2839.995
0.00695552,5.01596e-06,-1,2839.995
0.00676114,4.94871e-06,-1,2839.995
0.00657765,4.88509e-06,-1,2839.995
0.00640415,4.82481e-06,-1,2839.995
0.00623985,4.7676e-06,-1,2839.995
0.00608401,4.71324e-06,-1,2844.14
0.204577,0.000162413,-1,2844.26
0.79391,1.52918e-06,0,2844.3050000000003
0.984983,7.09312e-07,0,2844.3050000000003
0.794784,1.52318e-06,0,2844.3050000000003
0.207019,6.4114e-05,-1,2844.3050000000003
0.0137333,1.9126e-06,-1,2844.3050000000003
0.00605078,1.19936e-06,-1,2844.3050000000003
0.00573285,1.16978e-06,-1,2844.3050000000003
0.00559829,1.15725e-06,-1,2844.3050000000003
0.00547379,1.14563e-06,-1,2844.3050000000003
0.00535496,1.13454e-06,-1,2844.3050000000003
0.00524134,1.12391e-06,-1,2844.3050000000003
0.00513259,1.11372e-06,-1,2844.3050000000003
0.0050284,1.10395e-06,-1,2844.3050000000003
0.00492849,1.09457e-06,-1,2844.3050000000003
0.00483259,1.08556e-06,-1,2844.3050000000003
0.00474047,1.07689e-06,-1,2844.3050000000003
0.00465191,1.06854e-06,-1,2844.3050000000003
0.00456669,1.0605e-06,-1,2844.3050000000003
0.00448465,1.05275e-06,-1,2844.3050000000003
0.00440559,1.04527e-06,-1,2844.3050000000003
0.00432936,1.03806e-06,-1,2846.185
0.164205,3.40694e-05,-1,2846.1949999999997
0.575669,0.0160885,0,2846.1949999999997
0.531324,0.0295037,0,2846.1949999999997
0.456638,0.0939759,-1,2846.1949999999997
0.334057,0.0159172,-1,2846.1949999999997
0.141654,0.000428692,-1,2846.1949999999997
0.0411915,1.20167e-05,-1,2846.1949999999997
0.021473,3.06417e-06,-1,2846.1949999999997
0.0176001,2.08953e-06,-1,2846.1949999999997
0.0158451,1.71685e-06,-1,2846.1949999999997
0.0145286,1.46397e-06,-1,2846.1949999999997
0.0134311,1.27002e-06,-1,2846.1949999999997
0.0124932,1.11612e-06,-1,2846.1949999999997
0.0116811,9.9146e-07,-1,2846.1949999999997
0.0109705,8.88805e-07,-1,2846.1949999999997
0.0103432,8.03074e-07,-1,2846.1949999999997
0.00978516,7.30598e-07,-1,2846.1949999999997
0.00928528,6.68678e-07,-1,2846.1949999999997
0.00883484,6.15275e-07,-1,2846.1949999999997
0.00842675,5.68834e-07,-1,2846.1949999999997
0.00805525,5.28147e-07,-1,2846.1949999999997
0.00771557,4.92258e-07,-1,2846.1949999999997
0.00740375,4.60411e-07,-1,2846.1949999999997
0.00711649,4.31994e-07,-1,2846.1949999999997
0.00685096,4.0651e-07,-1,2846.1949999999997
0.00660477,3.8355e-07,-1,2846.1949999999997
0.00637586,3.62776e-07,-1,2846.1949999999997
0.00616247,3.43907e-07,-1,2846.1949999999997
0.00596306,3.26704e-07,-1,2846.1949999999997
0.0057763,3.10969e-07,-1,2846.1949999999997
0.005601,2.96531e-07,-1,2846.1949999999997
0.00543615,2.83243e-07,-1,2846.1949999999997
0.00528083,2.70982e-07,-1,2846.1949999999997
0.00513424,2.59637e-07,-1,2846.1949999999997
0.00499566,2.49117e-07,-1,2846.1949999999997
0.00486444,2.39337e-07,-1,2846.1949999999997
0.00474001,2.30227e-07,-1,2846.1949999999997
0.00462186,2.21724e-07,-1,2846.1949999999997
0.00450953,2.13773e-07,-1,2846.1949999999997
0.0044026,2.06323e-07,-1,2846.1949999999997
0.00430067,1.99331e-07,-1,2846.1949999999997
0.00420341,1.92759e-07,-1,2846.1949999999997
