Timestamp;Market Long proba (%);Market Short proba (%);Order Type;Market Mid;Holding;Holding Value
46:13.7;0.494013;0.491981;-1;3250.075;0;10000
46:15.7;0.494013;0.491981;-1;3250.075;0;10000
46:17.9;0.270075;0.267171;-1;3250.075;0;10000
46:20.3;0.0730968;0.0719514;-1;3250.435;0;10000
46:23.0;0.385786;0.0577763;-1;3250.385;0;10000
46:25.5;0.311872;0.369025;-1;3250.305;0;10000
46:27.9;0.31422;0.513115;1;3250.26;0;10000
46:30.3;0.19915;0.593961;1;3250.14;0;10000
46:32.8;0.0731607;0.722208;1;3250.045;0;10000
46:35.4;0.013361;0.870446;1;3250.035;0;10000
46:38.0;0.00261534;0.946008;1;3250.01;0;10000
46:41.0;0.00110777;0.967481;1;3250.005;0;10000
46:44.8;0.000765385;0.974118;1;3250.015;0;10000
46:47.0;0.10566;0.679513;1;3250.015;0;10000
46:49.2;0.182205;0.514264;1;3250.015;0;10000
46:51.9;0.0751438;0.429625;-1;3250.015;0;10000
46:54.9;0.0109795;0.288016;-1;3250.015;0;10000
46:57.1;0.00058543;0.124879;-1;3250.015;0;10000
46:59.9;5.15E-05;0.0493719;-1;3250.015;0;10000
47:02.5;1.97E-05;0.0302454;-1;3250.015;0;10000
47:05.4;1.36E-05;0.0245916;-1;3250.015;0;10000
47:08.4;1.08E-05;0.021588;-1;3250.015;0;10000
47:10.8;8.93E-06;0.0193815;-1;3250.015;0;10000
47:13.4;7.58E-06;0.0176071;-1;3250.02;0;10000
47:15.9;2.60E-07;9.50E-05;-1;3250.025;0;10000
47:18.4;3.92E-05;0.000320792;-1;3250.02;0;10000
47:21.3;0.00210028;0.0337724;-1;3250.02;0;10000
47:23.7;0.00209645;0.0337327;-1;3250.02;0;10000
47:26.4;0.00172922;0.0297732;-1;3250.02;0;10000
47:29.7;0.00142487;0.0262213;-1;3250.02;0;10000
47:33.3;0.00120013;0.0233966;-1;3250.02;0;10000
47:35.7;0.00103132;0.0211324;-1;3250.005;0;10000
47:38.5;0.0255156;0.27329;-1;3250.005;0;10000
47:41.3;0.0233984;0.26635;-1;3250.005;0;10000
47:44.0;0.00600097;0.171119;-1;3250.005;0;10000
47:46.8;0.00108495;0.0886332;-1;3250.005;0;10000
47:49.9;0.000320069;0.0517233;-1;3250.005;0;10000
47:53.1;0.000172555;0.0379706;-1;3250.005;0;10000
47:55.8;0.00012263;0.0314436;-1;3250.005;0;10000
47:58.7;9.62E-05;0.0272804;-1;3250.005;0;10000
48:02.4;7.91E-05;0.0242008;-1;3250.005;0;10000
48:05.4;6.69E-05;0.0217785;-1;3250.005;0;10000
48:08.4;5.77E-05;0.0198103;-1;3250.005;0;10000
48:11.4;5.07E-05;0.0181749;-1;3250.005;0;10000
48:14.8;4.50E-05;0.0167924;-1;3250.005;0;10000
48:18.1;4.04E-05;0.015607;-1;3250.005;0;10000
48:21.2;3.66E-05;0.0145788;-1;3250.005;0;10000
48:24.6;3.34E-05;0.0136779;-1;3250.005;0;10000
48:27.4;3.07E-05;0.0128817;-1;3250.005;0;10000
48:30.3;2.83E-05;0.0121729;-1;3250.005;0;10000
48:33.2;2.63E-05;0.0115375;-1;3250.005;0;10000
48:36.4;2.45E-05;0.0109647;-1;3250.005;0;10000
48:39.8;2.29E-05;0.0104456;-1;3250.005;0;10000
48:42.8;2.15E-05;0.00997284;-1;3250.005;0;10000
48:46.5;2.03E-05;0.00954056;-1;3250.005;0;10000
48:50.3;1.92E-05;0.00914372;-1;3250.005;0;10000
48:54.0;1.81E-05;0.0087781;-1;3250.005;0;10000
48:59.2;1.72E-05;0.00844015;-1;3250.005;0;10000
49:02.7;1.64E-05;0.00812685;-1;3250.005;0;10000
49:05.8;1.56E-05;0.00783558;-1;3250.005;0;10000
49:09.2;1.49E-05;0.00756409;-1;3250.005;0;10000
49:12.6;1.43E-05;0.00731044;-1;3250.005;0;10000
49:16.3;1.37E-05;0.00707293;-1;3250.005;0;10000
49:19.6;1.31E-05;0.00685006;-1;3250.005;0;10000
49:23.3;1.26E-05;0.00664053;-1;3250.005;0;10000
49:26.7;1.21E-05;0.00644316;-1;3250.005;0;10000
49:30.3;1.17E-05;0.00625694;-1;3250.005;0;10000
49:34.1;1.13E-05;0.00608095;-1;3250.005;0;10000
49:37.4;1.09E-05;0.00591437;-1;3250.005;0;10000
49:40.9;1.05E-05;0.00575647;-1;3250.005;0;10000
49:44.3;1.02E-05;0.0056066;-1;3250.005;0;10000
49:47.9;9.84E-06;0.00546414;-1;3250.005;0;10000
49:51.3;9.53E-06;0.00532858;-1;3250.005;0;10000
49:54.9;9.25E-06;0.00519943;-1;3250.005;0;10000
49:58.4;8.97E-06;0.00507624;-1;3250.005;0;10000
50:01.7;8.72E-06;0.00495862;-1;3250.005;0;10000
50:05.6;8.47E-06;0.00484619;-1;3250.005;0;10000
50:09.3;8.24E-06;0.00473863;-1;3250.005;0;10000
50:13.1;8.02E-06;0.00463562;-1;3250.005;0;10000
50:16.7;7.81E-06;0.00453688;-1;3250.005;0;10000
50:21.1;7.61E-06;0.00444217;-1;3250.005;0;10000
50:25.4;7.42E-06;0.00435123;-1;3250.005;0;10000
50:28.9;7.24E-06;0.00426385;-1;3250.005;0;10000
50:33.0;7.07E-06;0.00417982;-1;3250.005;0;10000
50:36.9;6.90E-06;0.00409897;-1;3250.005;0;10000
50:40.7;6.74E-06;0.0040211;-1;3250.005;0;10000
50:44.5;6.59E-06;0.00394607;-1;3250.005;0;10000
50:48.4;6.45E-06;0.00387372;-1;3250.005;0;10000
50:52.2;6.31E-06;0.00380391;-1;3250.005;0;10000
50:56.1;6.17E-06;0.00373652;-1;3250.005;0;10000
51:00.1;6.04E-06;0.00367141;-1;3250.005;0;10000
51:04.0;5.92E-06;0.00360848;-1;3250.005;0;10000
51:08.0;5.80E-06;0.00354762;-1;3250.005;0;10000
51:12.3;5.69E-06;0.00348873;-1;3250.005;0;10000
51:16.1;5.57E-06;0.00343172;-1;3250.005;0;10000
51:19.9;5.47E-06;0.0033765;-1;3250.005;0;10000
51:24.0;5.37E-06;0.00332299;-1;3250.005;0;10000
51:27.8;5.27E-06;0.00327112;-1;3250.005;0;10000
51:32.0;5.17E-06;0.0032208;-1;3250.005;0;10000
51:36.4;5.08E-06;0.00317197;-1;3250.005;0;10000
51:40.6;4.99E-06;0.00312456;-1;3250.005;0;10000
