Timestamp;Market Long proba (%);Market Short proba (%);Order Type;Market Mid;Holding;Holding Value
23:13.7;0.497354;0.498371;-1;3184.545;0;0
23:44.9;0.497354;0.498371;-1;3184.995;0;0
24:16.3;0.746167;0.252155;0;3184.995;0.01;31.84995
24:47.8;0.508831;0.197382;0;3186.445;0.02;63.7289
25:19.4;0.618586;0.0984238;0;3186.595;0.03;95.59785
25:50.8;0.861782;0.014394;0;3182.725;0.04;127.309
26:22.3;0.558675;0.143837;0;3183.755;0.05;159.18775
26:53.8;0.624016;0.0950579;0;3184.28;0.06;191.0568
27:25.6;0.845865;0.0171377;0;3185.585;0.07;222.99095
27:57.1;0.954896;0.00288525;0;3188.5;0.08;255.08
28:28.7;0.975063;0.00134304;0;3186.16;0.09;286.7544
29:00.4;0.632409;0.0901643;0;3186.245;0.1;318.6245
29:32.4;0.645236;0.0829679;0;3184.76;0.11;350.3236
30:04.3;0.428881;0.340921;-1;3183.03;0.11;350.1333
30:36.3;0.387519;0.495225;-1;3181.49;0.11;349.9639
31:08.2;0.266705;0.569462;1;3180.395;0.1;318.0395
31:40.4;0.115124;0.707786;1;3180.035;0.09;286.20315
32:12.4;0.0430605;0.828591;1;3178.035;0.08;254.2428
32:44.4;0.0257387;0.874636;1;3177.055;0.07;222.39385
33:16.4;0.0209965;0.889874;1;3176.51;0.06;190.5906
33:48.5;0.0185422;0.898403;1;3176.5;0.05;158.825
34:20.9;0.0167314;0.905032;1;3173.635;0.04;126.9454
34:52.9;0.0152649;0.910637;1;3172.205;0.03;95.16615
35:25.0;0.0140417;0.915495;1;3171.47;0.02;63.4294
35:56.8;0.0130034;0.919762;1;3172.495;0.01;31.72495
36:29.0;0.293828;0.551313;1;3170.81;-3.47E-18;-1.10E-14
37:00.9;0.289369;0.554216;1;3170.005;-3.47E-18;-1.10E-14
37:33.1;0.175319;0.642609;1;3170.005;-3.47E-18;-1.10E-14
38:05.6;0.110057;0.584706;1;3170.005;-3.47E-18;-1.10E-14
38:37.7;0.130178;0.531369;1;3170.005;-3.47E-18;-1.10E-14
39:09.9;0.0962272;0.50657;1;3171.395;-3.47E-18;-1.10E-14
39:42.2;0.357678;0.409666;-1;3171.395;-3.47E-18;-1.10E-14
40:14.4;0.338066;0.392271;-1;3172.495;-3.47E-18;-1.10E-14
40:46.5;0.431994;0.367174;-1;3172.495;-3.47E-18;-1.10E-14
41:18.3;0.391845;0.321626;-1;3174.995;-3.47E-18;-1.10E-14
41:50.8;0.453763;0.304776;-1;3183.095;-3.47E-18;-1.10E-14
42:23.2;0.505812;0.225707;0;3188.485;0.01;31.88485
42:55.3;0.591579;0.0990899;0;3188.485;0.02;63.7697
43:27.8;0.510107;0.155772;0;3189.255;0.03;95.67765
44:00.2;0.570251;0.0748648;0;3190.005;0.04;127.6002
44:32.6;0.716898;0.00940709;0;3190.005;0.05;159.50025
45:05.1;0.555145;0.0528979;0;3190.005;0.06;191.4003
45:37.5;0.47424;0.0977267;-1;3193.675;0.06;191.6205
46:09.9;0.516398;0.0544969;0;3199.235;0.07;223.94645
46:42.9;0.610602;0.00835139;0;3199.235;0.08;255.9388
47:15.6;0.517491;0.0351736;0;3199.995;0.09;287.99955
47:48.3;0.579836;0.00877292;0;3201.395;0.1;320.1395
48:21.0;0.731657;0.000242032;0;3201.395;0.11;352.15345
48:53.8;0.560354;0.0086272;0;3201.395;0.12;384.1674
49:26.9;0.475455;0.0307587;-1;3201.395;0.12;384.1674
50:00.2;0.405345;0.0087205;-1;3201.395;0.12;384.1674
50:33.0;0.283329;0.000476769;-1;3201.395;0.12;384.1674
51:05.9;0.133863;5.90E-06;-1;3204.425;0.12;384.531
51:39.0;0.372442;0.00301127;-1;3204.445;0.12;384.5334
52:12.0;0.488282;0.0161076;-1;3204.445;0.12;384.5334
52:44.8;0.451718;0.00884958;-1;3204.445;0.12;384.5334
53:17.4;0.37367;0.00127264;-1;3204.445;0.12;384.5334
53:50.3;0.234422;2.03E-05;-1;3204.445;0.12;384.5334
54:23.1;0.100825;1.36E-07;-1;3201.395;0.12;384.1674
54:55.8;0.0464572;5.40E-09;-1;3200.015;0.12;384.0018
55:28.5;0.0317525;1.28E-09;-1;3191.325;0.12;382.959
56:01.4;0.0264395;6.64E-10;-1;3190.345;0.12;382.8414
56:34.3;0.0232708;4.26E-10;-1;3190.345;0.12;382.8414
