Timestamp,Market Long proba (%),Market Short proba (%),Order Type,Market Mid,Holding,Holding Value
2017-08-28 12:35:04.840275,0.50291,0.50224,0,4317.585,0.01,100000.0
2017-08-28 12:35:07.043271,0.244561,0.760064,1,4318.595,0,100000.0101
2017-08-28 12:35:08.908142,0.502538,0.502614,1,4318.595,0,100000.0101
2017-08-28 12:35:11.315765,0.801869,0.199118,0,4318.595,0.01,100000.0101
2017-08-28 12:35:13.322689,0.938472,0.0621807,0,4318.595,0.01,100000.0101
2017-08-28 12:35:15.468003,0.683242,0.0345477,0,4317.865,0.01,100000.0028
2017-08-28 12:35:18.000628,0.381419,0.228991,-1,4317.905000000001,0.01,100000.0032
2017-08-28 12:35:19.933652,0.27468,0.469509,-1,4317.925,0.01,100000.0034
2017-08-28 12:35:22.138507,0.107136,0.638713,1,4316.775,0,99999.9919
2017-08-28 12:35:24.139277,0.0334165,0.79972,1,4316.77,0,99999.9919
2017-08-28 12:35:26.210024,0.0113448,0.895508,1,4316.78,0,99999.9919
2017-08-28 12:35:28.263678,0.00564283,0.93414,1,4316.985,0,99999.9919
2017-08-28 12:35:30.573335,0.0886402,0.668892,1,4316.985,0,99999.9919
2017-08-28 12:35:32.677031,0.300246,0.45186,-1,4316.985,0,99999.9919
2017-08-28 12:35:34.831270,0.453113,0.362596,-1,4316.995,0,99999.9919
2017-08-28 12:35:36.876122,0.544934,0.243318,0,4316.995,0.01,99999.9919
2017-08-28 12:35:39.215298,0.654398,0.137112,0,4316.995,0.01,99999.9919
2017-08-28 12:35:41.584282,0.769915,0.0637287,0,4316.995,0.01,99999.9919
2017-08-28 12:35:43.729540,0.610074,0.0797472,0,4316.995,0.01,99999.9919
2017-08-28 12:35:46.042998,0.484425,0.0987045,-1,4316.995,0.01,99999.9919
2017-08-28 12:35:48.235555,0.385366,0.0402842,-1,4316.995,0.01,99999.9919
2017-08-28 12:35:50.391115,0.277242,0.013369,-1,4316.995,0.01,99999.9919
2017-08-28 12:35:52.568752,0.181139,0.00404665,-1,4316.995,0.01,99999.9919
2017-08-28 12:35:54.836011,0.11762,0.00141024,-1,4316.995,0.01,99999.9919
