Timestamp;Market Long proba (%);Market Short proba (%);Order Type;Market Mid;Holding;Holding Value
22:10.1;0.489198;0.47299;-1;3280.005;0;10000
22:12.6;0.489198;0.47299;-1;3280.005;0;10000
22:15.2;0.244781;0.22676;-1;3280.005;0;10000
22:17.3;0.0686219;0.0616915;-1;3280.005;0;10000
22:20.1;0.0305154;0.0272046;-1;3280.005;0;10000
22:22.9;0.0239805;0.0213431;-1;3280.005;0;10000
22:25.1;0.0215104;0.019132;-1;3280.005;0;10000
22:27.9;0.0197372;0.0175463;-1;3279.155;0;10000
22:30.8;0.0189207;0.018963;-1;3278.665;0;10000
22:33.5;0.0182137;0.0203561;-1;3277.165;0;10000
22:36.0;0.0175719;0.0217802;-1;3274.03;0;10000
22:38.6;0.0169855;0.0232377;-1;3270.955;0;10000
22:41.4;0.0164475;0.0247284;-1;3270.955;0;10000
22:43.7;0.0154527;0.0232863;-1;3270.955;0;10000
22:46.1;0.0145433;0.0219641;-1;3270.955;0;10000
22:48.7;0.013735;0.0207854;-1;3270.955;0;10000
22:51.8;0.0130132;0.01973;-1;3270.955;0;10000
22:54.5;0.0123645;0.0187792;-1;3273.015;0;10000
22:57.3;0.241428;0.00739569;-1;3273.12;0;10000
22:59.7;0.624413;0.0189083;0;3273.155;0.01;10000
23:02.2;0.899091;0.000502125;0;3273.1;0.02;9999.99945
23:05.1;0.673713;0.0112136;0;3273.135;0.03;10000.00015
23:07.7;0.712926;0.00729998;0;3275.235;0.04;10000.06315
23:10.4;0.83782;0.00149311;0;3270.945;0.05;9999.89155
23:13.0;0.57447;0.0319402;0;3270.945;0.06;9999.89155
23:15.5;0.414703;0.073758;-1;3270.945;0.06;9999.89155
23:18.1;0.267492;0.0158976;-1;3270.945;0.06;9999.89155
23:21.0;0.140345;0.00269832;-1;3270.945;0.06;9999.89155
23:24.3;0.0742896;0.000622516;-1;3270.945;0.06;9999.89155
23:27.2;0.0492748;0.000270488;-1;3270.945;0.06;9999.89155
23:29.8;0.0388207;0.000176523;-1;3270.945;0.06;9999.89155
23:32.4;0.0328832;0.000134242;-1;3270.945;0.06;9999.89155
23:35.1;0.028729;0.000108646;-1;3270.945;0.06;9999.89155
23:38.0;0.0255497;9.10E-05;-1;3270.945;0.06;9999.89155
