Timestamp;Market Long proba (%);Market Short proba (%);Order Type;Market Mid;Holding;Holding Value
34:57.9;0.502312;0.509396;1;3260.755;0;10000
35:04.2;0.502312;0.509396;1;3262.645;0;10000
35:10.9;0.812284;0.18371;0;3262.65;0.01;10000
35:17.1;0.99413;0.00605854;0;3262.69;0.02;10000.0004
35:23.8;0.999113;0.000936579;0;3262.745;0.03;10000.0015
35:30.5;0.999161;0.000886154;0;3262.785;0.04;10000.0027
35:37.0;0.999168;0.000878758;0;3262.62;0.05;9999.9961
35:43.6;0.602553;0.390749;-1;3262.625;0.05;9999.99635
35:50.5;0.603075;0.390225;-1;3262.505;0.05;9999.99035
35:57.4;0.416964;0.581745;1;3262.235;0.04;9999.97685
36:04.2;0.121156;0.875821;1;3261.775;0.03;9999.95845
36:11.0;0.00985896;0.989958;1;3261.775;0.02;9999.95845
36:18.0;0.032747;0.832032;1;3261.775;0.01;9999.95845
36:24.9;0.11108;0.589018;1;3261.775;-3.47E-18;9999.95845
36:31.9;0.12867;0.499289;-1;3257.785;-3.47E-18;9999.95845
36:38.6;0.0893357;0.546895;1;3257.785;-3.47E-18;9999.95845
36:45.4;0.0934922;0.490618;-1;3254.395;-3.47E-18;9999.95845
36:52.4;0.0636104;0.538195;1;3254.395;-3.47E-18;9999.95845
36:59.3;0.066967;0.487249;-1;3254.055;-3.47E-18;9999.95845
37:06.1;0.0555127;0.531002;1;3253.505;-3.47E-18;9999.95845
37:12.8;0.0329018;0.587482;1;3250.015;-3.47E-18;9999.95845
37:19.6;0.0111582;0.665269;1;3250.015;-3.47E-18;9999.95845
37:26.4;0.0239965;0.576801;1;3250.015;-3.47E-18;9999.95845
37:32.8;0.027342;0.514792;1;3250.005;-3.47E-18;9999.95845
37:39.4;0.0195427;0.553818;1;3250.005;-3.47E-18;9999.95845
37:46.0;0.0204114;0.506998;1;3250.005;-3.47E-18;9999.95845
37:52.6;0.0172917;0.460522;-1;3251.02;-3.47E-18;9999.95845
37:59.4;0.0298611;0.348734;-1;3251.07;-3.47E-18;9999.95845
38:06.3;0.0464612;0.253419;-1;3251.18;-3.47E-18;9999.95845
38:13.2;0.0688561;0.1828;-1;3251.085;-3.47E-18;9999.95845
38:19.9;0.0544147;0.223271;-1;3251.18;-3.47E-18;9999.95845
38:26.6;0.0756545;0.168127;-1;3251.175;-3.47E-18;9999.95845
38:33.8;0.059204;0.208147;-1;3251.88;-3.47E-18;9999.95845
38:40.8;0.0816402;0.156883;-1;3251.92;-3.47E-18;9999.95845
38:48.2;0.113353;0.114566;-1;3253.805;-3.47E-18;9999.95845
38:55.7;0.152269;0.0843276;-1;3252.26;-3.47E-18;9999.95845
39:02.8;0.115806;0.112136;-1;3252.665;-3.47E-18;9999.95845
39:09.7;0.149565;0.0859714;-1;3252.67;-3.47E-18;9999.95845
39:16.9;0.194199;0.0642292;-1;3253.215;-3.47E-18;9999.95845
39:24.7;0.244746;0.0485668;-1;3253.935;-3.47E-18;9999.95845
39:32.3;0.299075;0.0373214;-1;3254.1;-3.47E-18;9999.95845
39:39.5;0.354912;0.0291891;-1;3255.105;-3.47E-18;9999.95845
39:46.9;0.409977;0.0232533;-1;3255.11;-3.47E-18;9999.95845
39:53.8;0.462362;0.0188725;-1;3255.11;-3.47E-18;9999.95845
40:01.4;0.428534;0.0164964;-1;3255.105;-3.47E-18;9999.95845
40:08.4;0.322063;0.0257933;-1;3255.105;-3.47E-18;9999.95845
40:15.6;0.292135;0.0224835;-1;3255.105;-3.47E-18;9999.95845
40:22.9;0.269918;0.0201889;-1;3240.995;-3.47E-18;9999.95845
40:30.2;0.198366;0.0298655;-1;3242.035;-3.47E-18;9999.95845
40:37.8;0.238798;0.0237073;-1;3243.01;-3.47E-18;9999.95845
40:45.3;0.289803;0.0183266;-1;3243.455;-3.47E-18;9999.95845
40:52.9;0.343411;0.0143565;-1;3241.635;-3.47E-18;9999.95845
41:00.2;0.259186;0.0213104;-1;3243.785;-3.47E-18;9999.95845
41:08.4;0.301949;0.0173072;-1;3241.735;-3.47E-18;9999.95845
41:16.3;0.226272;0.025389;-1;3242.715;-3.47E-18;9999.95845
41:23.7;0.268299;0.0203537;-1;3240.465;-3.47E-18;9999.95845
41:31.4;0.200524;0.0294784;-1;3242.775;-3.47E-18;9999.95845
41:38.8;0.241367;0.0233852;-1;3242.785;-3.47E-18;9999.95845
41:46.9;0.292544;0.0180905;-1;3242.93;-3.47E-18;9999.95845
41:55.1;0.346204;0.0141836;-1;3243.43;-3.47E-18;9999.95845
42:03.3;0.399793;0.011309;-1;3243.925;-3.47E-18;9999.95845
42:11.7;0.451381;0.00917582;-1;3243.785;-3.47E-18;9999.95845
42:20.0;0.346565;0.0141626;-1;3241.57;-3.47E-18;9999.95845
42:28.2;0.251574;0.022165;-1;3239.77;-3.47E-18;9999.95845
42:36.3;0.180705;0.0333918;-1;3235.65;-3.47E-18;9999.95845
42:44.9;0.130069;0.0484892;-1;3234.965;-3.47E-18;9999.95845
42:53.2;0.0942201;0.0682493;-1;3236.555;-3.47E-18;9999.95845
43:02.2;0.122096;0.0519401;-1;3235.745;-3.47E-18;9999.95845
43:10.4;0.0913574;0.0704442;-1;3236.705;-3.47E-18;9999.95845
43:19.0;0.118875;0.0534576;-1;3236.715;-3.47E-18;9999.95845
43:28.1;0.155314;0.03979;-1;3236.19;-3.47E-18;9999.95845
43:36.3;0.116045;0.0548561;-1;3236.185;-3.47E-18;9999.95845
43:44.7;0.0844637;0.0762895;-1;3236.185;-3.47E-18;9999.95845
43:53.4;0.0803773;0.0725672;-1;3236.125;-3.47E-18;9999.95845
44:02.1;0.0597463;0.097168;-1;3236.43;-3.47E-18;9999.95845
44:10.7;0.0800046;0.0729082;-1;3236.615;-3.47E-18;9999.95845
44:19.1;0.107722;0.0536104;-1;3236.665;-3.47E-18;9999.95845
44:27.6;0.141822;0.0397383;-1;3236.665;-3.47E-18;9999.95845
44:36.2;0.135725;0.0378366;-1;3235.22;-3.47E-18;9999.95845
44:44.1;0.0997715;0.05278;-1;3235.665;-3.47E-18;9999.95845
44:52.1;0.128477;0.0402073;-1;3235.66;-3.47E-18;9999.95845
45:01.8;0.0957313;0.0551182;-1;3235.65;-3.47E-18;9999.95845
45:09.5;0.0698029;0.0760378;-1;3235.195;-3.47E-18;9999.95845
45:17.6;0.0512326;0.102627;-1;3235.2;-3.47E-18;9999.95845
45:25.7;0.0691005;0.0768052;-1;3235.19;-3.47E-18;9999.95845
45:34.0;0.0521258;0.100961;-1;3237.39;-3.47E-18;9999.95845
45:42.1;0.0703125;0.0754906;-1;3237.39;-3.47E-18;9999.95845
45:49.9;0.0672131;0.0721806;-1;3237.385;-3.47E-18;9999.95845
45:58.0;0.0499783;0.096296;-1;3237.25;-3.47E-18;9999.95845
46:06.0;0.0369853;0.12737;-1;3237.39;-3.47E-18;9999.95845
46:14.4;0.0507541;0.0948939;-1;3235.845;-3.47E-18;9999.95845
46:22.3;0.0385563;0.122642;-1;3235.53;-3.47E-18;9999.95845
46:30.2;0.0287882;0.159041;-1;3236.355;-3.47E-18;9999.95845
46:38.4;0.0400881;0.118345;-1;3237.34;-3.47E-18;9999.95845
46:46.6;0.0563409;0.0858329;-1;3237.34;-3.47E-18;9999.95845
46:55.2;0.0537356;0.0819824;-1;3237.34;-3.47E-18;9999.95845
47:03.5;0.0514949;0.0786617;-1;3242.2;-3.47E-18;9999.95845
47:11.6;0.0698988;0.0580947;-1;3242.995;-3.47E-18;9999.95845
47:20.0;0.0941976;0.0426703;-1;3243.005;-3.47E-18;9999.95845
47:28.8;0.124452;0.0315802;-1;3242.995;-3.47E-18;9999.95845
47:37.5;0.0925027;0.0434961;-1;3243.015;-3.47E-18;9999.95845
47:46.3;0.119561;0.0330071;-1;3243.01;-3.47E-18;9999.95845
47:54.5;0.0888047;0.0454016;-1;3243.03;-3.47E-18;9999.95845
48:02.8;0.115122;0.0344033;-1;3243.51;-3.47E-18;9999.95845
48:12.2;0.1497;0.0256535;-1;3244.015;-3.47E-18;9999.95845
48:20.6;0.190578;0.0193073;-1;3244.4;-3.47E-18;9999.95845
48:28.9;0.23699;0.014705;-1;3244.315;-3.47E-18;9999.95845
48:37.5;0.176587;0.0211577;-1;3244.32;-3.47E-18;9999.95845
48:45.9;0.215226;0.0166217;-1;3244.325;-3.47E-18;9999.95845
48:54.5;0.263738;0.012776;-1;3244.625;-3.47E-18;9999.95845
49:03.0;0.315785;0.00994488;-1;3244.625;-3.47E-18;9999.95845
49:11.6;0.297204;0.00912007;-1;3244.625;-3.47E-18;9999.95845
49:20.2;0.276147;0.00823509;-1;3244.625;-3.47E-18;9999.95845
49:28.9;0.25721;0.00748082;-1;3240.975;-3.47E-18;9999.95845
49:37.6;0.188242;0.0111296;-1;3235.2;-3.47E-18;9999.95845
49:46.1;0.135092;0.0164352;-1;3237.25;-3.47E-18;9999.95845
49:54.8;0.168478;0.0127179;-1;3237.355;-3.47E-18;9999.95845
50:03.6;0.211194;0.0096548;-1;3238.235;-3.47E-18;9999.95845
50:12.5;0.259077;0.00741006;-1;3238.235;-3.47E-18;9999.95845
50:21.0;0.245898;0.00691395;-1;3240.225;-3.47E-18;9999.95845
50:30.8;0.292356;0.00546581;-1;3240.88;-3.47E-18;9999.95845
50:39.7;0.344498;0.00430287;-1;3238.845;-3.47E-18;9999.95845
50:48.8;0.259174;0.00644994;-1;3240.73;-3.47E-18;9999.95845
50:58.4;0.301195;0.00524249;-1;3240.225;-3.47E-18;9999.95845
51:07.6;0.224826;0.00777097;-1;3239.88;-3.47E-18;9999.95845
51:16.7;0.161437;0.0116614;-1;3238.715;-3.47E-18;9999.95845
51:26.2;0.115838;0.0170421;-1;3238.74;-3.47E-18;9999.95845
51:35.3;0.146343;0.0130773;-1;3239.13;-3.47E-18;9999.95845
51:44.6;0.18564;0.00986697;-1;3239.125;-3.47E-18;9999.95845
51:53.8;0.137411;0.0140598;-1;3239.125;-3.47E-18;9999.95845
52:02.9;0.130246;0.0132281;-1;3239.125;-3.47E-18;9999.95845
52:12.1;0.124915;0.0126174;-1;3239.14;-3.47E-18;9999.95845
52:20.8;0.158763;0.00957337;-1;3241.995;-3.47E-18;9999.95845
52:29.7;0.199928;0.00724791;-1;3241.995;-3.47E-18;9999.95845
52:38.4;0.191549;0.00687497;-1;3241.995;-3.47E-18;9999.95845
52:47.5;0.181608;0.00644209;-1;3243.975;-3.47E-18;9999.95845
52:56.7;0.223105;0.00498626;-1;3243.985;-3.47E-18;9999.95845
