Timestamp;Market Long proba (%);Market Short proba (%);Order Type;Market Mid;Holding;Holding Value;Index BTC;Index Port
08:01.9;2.94E-05;0.152531;-1;3424.74;1.1;10002.5785;1.000197134;1.00025785
08:20.5;0.00334527;0.00156542;-1;3426.175;1.1;10004.157;1.000616227;1.0004157
08:35.6;0.278555;1.45E-05;-1;3426.335;1.1;10004.333;1.000662955;1.0004333
08:50.4;0.977602;1.40E-05;0;3426.5;1.1;10004.5145;1.000711143;1.00045145
09:05.9;0.999253;1.37E-05;0;3426.53;1.1;10004.5475;1.000719905;1.00045475
09:24.7;0.999324;1.37E-05;0;3426.52;1.1;10004.5365;1.000716984;1.00045365
09:41.7;0.927948;0.0015573;0;3426.975;1.1;10005.037;1.000849867;1.0005037
09:58.1;0.928162;0.00155239;0;3430.255;1.1;10008.645;1.001807793;1.0008645
10:13.9;0.947891;0.00110802;0;3431.42;1.1;10009.9265;1.002148032;1.00099265
10:29.2;0.962376;0.000795;0;3431.715;1.1;10010.251;1.002234187;1.0010251
10:46.0;0.970372;0.000628351;0;3432.36;1.1;10010.9605;1.002422559;1.00109605
11:01.1;0.975095;0.00053269;0;3431.755;1.1;10010.295;1.002245869;1.0010295
11:16.2;0.254678;0.0575381;-1;3433.49;1.1;10012.2035;1.002752576;1.00122035
11:31.3;0.277756;0.0514539;-1;3432.385;1.1;10010.988;1.00242986;1.0010988
11:48.2;0.00437464;0.82602;1;3431.865;1;10010.416;1.002277994;1.0010416
12:03.4;4.92E-05;0.997666;1;3432.33;0.9;10010.881;1.002413798;1.0010881
12:18.4;0.00548711;0.791578;1;3434.385;0.8;10012.7305;1.003013961;1.00127305
12:33.5;0.388444;0.0319362;-1;3432.985;0.8;10011.6105;1.002605091;1.00116105
12:50.9;0.191098;0.0814712;-1;3431.9;0.8;10010.7425;1.002288216;1.00107425
13:06.5;0.00238477;0.897602;1;3432.64;0.7;10011.3345;1.002504333;1.00113345
13:21.5;0.0998824;0.158834;-1;3434.235;0.7;10012.451;1.002970154;1.0012451
13:38.0;0.926612;0.00165677;0;3433.775;0.8;10012.129;1.002835811;1.0012129
13:55.1;0.189269;0.0823554;-1;3434.145;0.8;10012.425;1.002943869;1.0012425
14:11.0;0.248502;0.0595852;-1;3435.995;0.8;10013.905;1.003484163;1.0013905
14:26.5;0.939408;0.00134962;0;3435.995;0.9;10013.905;1.003484163;1.0013905
14:42.4;0.826689;0.000424069;0;3435.995;1;10013.905;1.003484163;1.0013905
14:58.7;0.0524677;9.59E-06;-1;3436.5;1;10014.41;1.003631648;1.001441
15:15.3;0.111902;9.57E-06;-1;3436.415;1;10014.325;1.003606824;1.0014325
15:31.8;0.00109607;0.00108067;-1;3435.745;1;10013.655;1.00341115;1.0013655
15:47.4;1.08E-05;0.110569;-1;3435.695;1;10013.605;1.003396548;1.0013605
16:03.1;1.06E-05;0.934221;1;3435.72;0.9;10013.63;1.003403849;1.001363
16:18.7;0.00119849;0.110075;-1;3435.755;0.9;10013.6615;1.003414071;1.00136615
16:34.2;0.121084;0.00107606;-1;3436.395;0.9;10014.2375;1.003600983;1.00142375
