Market Long proba (%),Market Short proba (%),Order Type,Market Mid
0.500628,0.514101,1,3199.495
0.500628,0.514101,1,3199.495
0.310684,0.321322,-1,3199.495
0.105739,0.112253,-1,3199.505
0.390886,0.0938652,-1,3199.735
0.596329,0.14387,0,3199.925
0.782787,0.0300078,0,3199.925
0.599314,0.0665441,0,3199.925
0.47791,0.115996,-1,3199.925
0.378659,0.0398542,-1,3199.925
0.24726,0.0074565,-1,3199.995
0.408302,0.0286253,-1,3199.995
0.354334,0.013394,-1,3199.995
0.236308,0.00211986,-1,3199.995
0.124547,0.00021023,-1,3199.995
0.0659149,3.6789e-05,-1,3199.995
0.0437223,1.42633e-05,-1,3199.995
