Timestamp,Market Long proba (%),Market Short proba (%),Order Type,Market Mid,Holding,Holding Value
2017-08-10 22:46:54.672118,0.497817,0.495489,-1,3441.085,0,10000.0
2017-08-10 22:46:56.625748,0.497817,0.495489,-1,3441.085,0,10000.0
2017-08-10 22:46:58.454087,0.497817,0.495489,-1,3441.085,0,10000.0
2017-08-10 22:47:00.659812,0.497817,0.495489,-1,3441.085,0,10000.0
2017-08-10 22:47:03.332013,0.00375571,0.00363695,-1,3441.085,0,10000.0
2017-08-10 22:47:06.426223,5.53457e-06,5.42724e-06,-1,3441.085,0,10000.0
2017-08-10 22:47:08.666286,5.53427e-06,5.42696e-06,-1,3441.085,0,10000.0
2017-08-10 22:47:10.975171,5.53427e-06,5.42696e-06,-1,3441.085,0,10000.0
2017-08-10 22:47:13.809746,5.53427e-06,5.42696e-06,-1,3441.085,0,10000.0
2017-08-10 22:47:16.055240,5.53427e-06,5.42696e-06,-1,3441.085,0,10000.0
2017-08-10 22:47:18.359302,5.53427e-06,5.42696e-06,-1,3441.085,0,10000.0
2017-08-10 22:47:20.790507,5.53427e-06,5.42696e-06,-1,3441.085,0,10000.0
2017-08-10 22:47:22.877509,5.53427e-06,5.42696e-06,-1,3441.085,0,10000.0
2017-08-10 22:47:25.325652,5.53427e-06,5.42696e-06,-1,3441.085,0,10000.0
2017-08-10 22:47:27.901572,5.53427e-06,5.42696e-06,-1,3441.085,0,10000.0
2017-08-10 22:47:30.105934,5.53427e-06,5.42696e-06,-1,3441.085,0,10000.0
2017-08-10 22:47:32.251601,5.53427e-06,5.42696e-06,-1,3441.085,0,10000.0
2017-08-10 22:47:34.413248,5.53427e-06,5.42696e-06,-1,3441.085,0,10000.0
2017-08-10 22:47:36.876929,5.53427e-06,5.42696e-06,-1,3441.085,0,10000.0
2017-08-10 22:47:39.997706,5.53427e-06,5.42696e-06,-1,3441.085,0,10000.0
2017-08-10 22:47:42.819962,5.53427e-06,5.42696e-06,-1,3441.085,0,10000.0
