Market Long proba (%),Market Short proba (%),Order Type,Market Mid
0.509159,0.494818,0,2861.205
0.509159,0.494818,0,2857.335
0.285969,0.711802,1,2857.865
0.487483,0.509274,1,2867.0600000000004
0.699314,0.300249,0,2862.8050000000003
0.542294,0.45751,0,2859.205
0.447287,0.552667,1,2860.935
0.497492,0.502489,1,2863.855
0.553803,0.446878,0,2861.605
0.502829,0.497452,0,2861.915
0.547443,0.453211,0,2861.915
0.497733,0.414938,-1,2861.495
0.452579,0.46501,-1,2861.435
0.411995,0.505915,1,2863.1949999999997
0.457391,0.46203,-1,2863.1949999999997
0.423531,0.428064,-1,2865.665
0.467913,0.387683,-1,2866.1949999999997
0.514339,0.341478,0,2868.995
0.561026,0.293172,0,2875.325
0.614358,0.234952,0,2874.925
0.553956,0.300684,0,2874.9049999999997
0.501416,0.354419,0,2874.8199999999997
0.457273,0.398271,-1,2874.435
0.418354,0.437541,-1,2874.435
0.38298,0.401725,-1,2874.4049999999997
0.352612,0.434485,-1,2874.315
0.32475,0.464398,-1,2874.005
0.299315,0.492341,-1,2874.495
0.348193,0.439169,-1,2882.1949999999997
0.400534,0.385673,-1,2884.335
0.450973,0.338196,-1,2888.0150000000003
0.498223,0.297011,-1,2902.685
0.541653,0.261672,0,2924.995
0.581181,0.231138,0,2932.12
0.617387,0.203968,0,2944.225
0.651596,0.178318,0,2944.0150000000003
0.601642,0.215736,0,2937.355
0.550331,0.254856,0,2942.995
0.581695,0.230751,0,2945.225
0.617214,0.204101,0,2949.995
0.651364,0.178501,0,3008.495
0.685679,0.152288,0,3068.145
0.722809,0.123739,0,3146.12
0.764928,0.0928679,0,3089.865
0.679984,0.156674,0,3080.285
0.615326,0.205511,0,3114.35
0.641183,0.186171,0,3113.02
0.591977,0.222992,0,3140.115
0.620391,0.201731,0,3137.285
0.573632,0.23688,0,3092.8599999999997
0.524694,0.275218,0,3103.84
0.558358,0.248615,0,3086.9399999999996
0.516913,0.281538,0,3051.96
0.472762,0.318818,-1,3098.8450000000003
0.510955,0.286428,0,3085.3
0.473576,0.318109,-1,3093.9449999999997
0.512244,0.28537,0,3170.145
0.55384,0.252139,0,3147.04
0.513366,0.284449,0,3153.49
0.548629,0.256206,0,3151.535
0.508046,0.288833,0,3124.76
0.464707,0.325905,-1,3116.0150000000003
0.425055,0.362188,-1,3129.205
0.466853,0.324022,-1,3116.005
0.433597,0.354172,-1,3120.1549999999997
0.475372,0.316568,-1,3100.005
0.441343,0.347,-1,3115.0950000000003
0.482558,0.310359,-1,3119.925
0.52674,0.27366,0,3126.92
0.567486,0.241807,0,3117.84
0.526005,0.274251,0,3109.2349999999997
0.481126,0.311592,-1,3104.925
0.439824,0.348402,-1,3111.7349999999997
0.480563,0.312081,-1,3084.29
0.445992,0.342745,-1,3106.2
0.486853,0.306689,-1,3109.965
0.530662,0.270538,0,3107.065
0.492162,0.302177,-1,3108.995
0.529279,0.271645,0,3107.8050000000003
0.490357,0.303707,-1,3109.995
0.527585,0.273003,0,3111.435
0.567693,0.241701,0,3115.705
0.604576,0.214158,0,3111.5150000000003
0.560222,0.24741,0,3111.785
0.591148,0.224081,0,3130.505
0.62547,0.198874,0,3160.005
0.658079,0.175085,0,3131.435
0.608542,0.211247,0,3116.975
0.557121,0.249795,0,3120.005
0.587757,0.226604,0,3099.995
0.54409,0.259921,0,3104.795
0.576442,0.23508,0,3102.0699999999997
0.533693,0.268127,0,3108.1
0.567008,0.242224,0,3106.92
0.524995,0.275085,0,3108.5150000000003
0.55911,0.248266,0,3104.035
0.517722,0.280972,0,3097.77
0.473524,0.318189,-1,3099.2799999999997
0.511645,0.285941,0,3099.745
0.553189,0.252839,0,3099.185
0.512818,0.284979,0,3110.005
0.548089,0.256801,0,3116.58
0.586256,0.227738,0,3130.245
0.621488,0.201811,0,3138.035
0.654288,0.177923,0,3149.995
0.686251,0.15438,0,3151.0150000000003
0.719479,0.129587,0,3149.995
0.657374,0.175668,0,3159.005
0.68096,0.158307,0,3144.67
0.62735,0.197542,0,3142.55
0.574214,0.236772,0,3155.045
0.603281,0.215136,0,3169.935
0.636594,0.190818,0,3171.33
