Market Long proba (%),Market Short proba (%),Order Type,Market Mid
0.498548,0.502183,1,2827.005
0.498548,0.502183,1,2827.005
0.283324,0.285122,-1,2827.005
0.0929097,0.0940035,-1,2827.005
0.0383525,0.0389199,-1,2827.005
0.0278358,0.0282728,-1,2827.005
0.0242999,0.0246901,-1,2827.005
0.0219922,0.0223509,-1,2827.005
0.020142,0.0204749,-1,2827.005
0.018591,0.0189019,-1,2827.005
0.0172674,0.0175592,-1,2827.005
0.0161232,0.0163982,-1,2827.005
0.0151237,0.0153839,-1,2827.005
0.0142426,0.0144896,-1,2827.005
0.0134599,0.013695,-1,2827.005
0.0127596,0.0129839,-1,2827.005
0.0121293,0.0123439,-1,2827.005
0.0115589,0.0117646,-1,2827.005
0.0110401,0.0112377,-1,2827.005
0.0105663,0.0107563,-1,2827.005
0.0101317,0.0103148,-1,2827.005
0.00973163,0.00990829,-1,2827.005
0.00936215,0.00953284,-1,2827.005
0.00901984,0.00918495,-1,2827.005
0.00870179,0.0088617,-1,2827.005
0.0084055,0.00856054,-1,2827.005
0.0081288,0.00827926,-1,2827.005
0.0078698,0.00801596,-1,2827.005
0.00762686,0.00776896,-1,2827.005
0.00739851,0.00753679,-1,2827.005
0.00718348,0.00731814,-1,2827.005
0.00698064,0.00711187,-1,2827.005
0.00678897,0.00691694,-1,2827.005
0.00660757,0.00673245,-1,2827.005
0.00643564,0.00655758,-1,2827.005
0.00627245,0.00639159,-1,2827.005
0.00611735,0.00623382,-1,2827.005
0.00596976,0.00608368,-1,2827.005
0.00582914,0.00594062,-1,2827.005
0.005695,0.00580416,-1,2827.005
0.00556693,0.00567384,-1,2827.005
0.00544449,0.00554927,-1,2827.005
0.00532734,0.00543007,-1,2827.005
0.00521513,0.00531589,-1,2827.005
0.00510757,0.00520644,-1,2827.005
0.00500437,0.00510141,-1,2827.005
0.00490527,0.00500055,-1,2827.005
0.00481003,0.00490361,-1,2827.005
0.00471842,0.00481037,-1,2827.005
0.00463025,0.00472063,-1,2827.005
0.00454532,0.00463419,-1,2827.005
0.00446346,0.00455086,-1,2827.005
0.00438451,0.00447049,-1,2827.005
0.00430831,0.00439292,-1,2827.565
0.129912,0.00209642,-1,2827.5150000000003
0.128491,0.00209285,-1,2827.5950000000003
0.4919,0.00576324,-1,2828.175
0.799619,0.000773425,0,2828.175
0.615174,0.00262343,0,2828.175
0.427176,0.0139838,-1,2828.175
0.255463,0.00111764,-1,2828.175
0.123526,9.31943e-05,-1,2828.175
0.0654548,2.18901e-05,-1,2828.175
0.0455166,1.07621e-05,-1,2830.285
